#{"t_start": 1773518931.0733502, "env_id": "None"}
r,l,t
150.0,300,64.49991
150.0,300,64.72804
150.0,300,65.565534
148.5,300,65.809984
150.0,300,66.050874
148.5,300,66.298826
150.0,300,67.187973
150.0,300,67.446265
150.0,300,67.656557
150.0,300,68.45511
150.0,300,68.688539
148.5,300,68.91202
150.0,300,69.836293
148.5,300,70.08176
148.5,300,70.327639
148.5,300,70.556199
